Type,Plant - Common,Full Grown Characteristics,Flower Color,Soil Type,Sun Exposure,Foliage Color
PERENNIALS,Tickseed,"15-18""Tx18-24""W, golden-yellow daisy-like flowers, June-frost, deep green foliage                         Plant Group 6pts/flat @ $4.59/pt",Golden Yellow,Average,Full sun,Deep Green
PERENNIALS,"Tickseed, Threadleaf","18-24""Tx2-3'W, pale yellow flowers, Summer, fine, lacy foliage, N",Pale Yellow,Average to dry,Full sun,Green
PERENNIALS,Tickseed ,"18-24""Tx2-3'W, deep yellow flowers, June-September, cactus-like foliage (?)",Deep Yellow,Average to dry,Full sun,Deep Green
PERENNIALS,Tickseed ,"18-24""Tx2-3'W,  yellow/orange flowers, June-September, butterflies, Deer Resistant",Yellow/Orange,Average to dry,Full sun,Deep Green
PERENNIALS,Tickseed ,"15-18""Tx2-3'W, velvety magenta flowers, June-September, butterflies, Deer Resistant",Magenta,Average,Full sun,Bright Green
PERENNIALS,Tickseed ,"6-12""Tx2'W,  yellow/orange (?) red w/yellow center flowers, June-September, butterflies, Deer Resistant","Red, yellow center",Average,Full sun,Green
PERENNIALS,Tickseed ,"15-18""Tx18-24""W, deep wine red flowers, early to late summer, butterflies, Deer Resistant               Plant Group 6pts/flat @ $4.59/pt","Deep Wine Red, yellow center",Average to dry,Full sun,Dark Green
PERENNIALS,Toadlily,"1-1.5'Tx3', white flowers/ maroon spots, Sept-Nov, upright stems, spreader, shady/moist soil           Plant Group 6pts/flat @ $4.59/pt",White/Maroon spots,Moist,Part/Full Shade,Green
PERENNIALS,Turtlehead,"2-3'Tx18-24""W, white flowers, Sept-Oct, wildlife, N",White,Moist to wet,Partial Shade,Dark Green
PERENNIALS,Wand Flower,"12-14""Tx24-30""W, pink flowers, early June-late July",Pink,"Average, well-drained",Full sun,Medium Green
PERENNIALS,Wand Flower,"12-14""Tx24-30""W, pink flowers, early June-late July",Pink,,,
PERENNIALS,Wand Flower,"16-18""Tx18-24""W, red buds, blush pink flowers, May-Frost, radiant pink foliage, upright/non-flopping",6.93,,,
PERENNIALS,Windflower,"18-24""Tx18-24""W, pure white flowers, late April-early May, spreading clump, N",White,Moist to wet,Partial Shade,Deep Green
PERENNIALS,Wormwood,"6""Tx2-3'W, fragrant, silver foliage, Drought and Deer Resistant ",,"Poor, average to dry",Full sun,Silver
PERENNIALS,"Wormwood (""Dusty Miller"")","6""Tx2-3'W, fragrant, silver foliage, Drought and Deer Resistant/ Seashore ",,"Poor, average to dry",Full sun,Silver
PERENNIALS,Yarrow,"24-30""Tx24-30""W, fern-like foliage, magenta flrs, butterflies, June-Sept, DR                                     Plant Group 6pts/flat @ $4.59/pt                     ",Magenta,Average to dry,Full sun,Green
PERENNIALS,Yarrow,"24-30""Tx24-36""W,  rose-pink flowers, June-Sept, fern-like foliage, bees, butterflies, Drought Resistant",Rose Pink,Average to dry,Full sun,Green
PERENNIALS,Yarrow,"24-30""Tx24-36""W,  yellow flowers, June-Sept, fern-like foliage, bees, butterflies, Drought Resistant",Yellow,Average to dry,Full sun,Dark Green
PERENNIALS,Yarrow,"24-30""Tx24-36""W,  yellow flowers with red/pink edges, Jun-Sept, fern-like foliage, bees, butterflies, Drought Resistant",Yellow/Red/Pink,Average to dry,Full sun,Green
PERENNIALS,Yarrow,"24-30""Tx24-36""W,  yellow flowers, Jun-Sept, fern-like foliage, bees, butterflies, Drought Resistant",Yellow,Average to dry,Full Sun,Green
SHRUBS,Andromeda,"5-7'Tx5-7'W, red flower buds, pink flowers, late March, evergreen, Deer Resistant",Red buds to Pink,Average to moist,Part/Full Shade,Reddish new to Dark Green
SHRUBS,Andromeda,"2'Tx3'W, white flowers, late April, compact, evergreen , Deer Resistant",White,Average to moist,Part/Full Shade,Bronze new to Dark Green
SHRUBS,Andromeda,"4-5'Tx4-5'W, white flowers, late March-late April, Deer Resistant",White,Average to moist,Part/Full Shade,Medium Green
SHRUBS,Andromeda,"6-7'Tx6-7'W, white flowers, April, somewhat lace bug resistant, evergreen, Deer Resistant ",White,Average to moist,Part/Full Shade,Yellow new to Dark Green
SHRUBS,Andromeda,"6-8'Tx5-6'W, white flowers, late March-mid April, red new growth, upright, Deer Resistant",White,Average to moist,Part/Full Shade,Red new to Dark Green
SHRUBS,Andromeda,"5-6'Tx5-6'W, white fllowers, late March-late April, Deer Resistant",White,Average to moist,Part/Full Shade,Reddish new to Deep Green
SHRUBS,Andromeda,"5-7'Tx5-7'W, red buds/pinkish-red flowers, late April, bronze new foliage, Deer Resistant",Red Buds to Pinkish Red,Average to moist,Part/Full Shade,Bronze new to Green
SHRUBS,Andromeda,"4-5'Tx4-5'W, bell-shaped, dusty rose flowers, late April-May, wine red new foliage, Deer Resistant",Dusty Roase,Average to moist,Part/Full Shade,Wine Red new to Green
SHRUBS,Azalea,"4-5'Tx5-6'W, salmon pink flowers, mid-May, good naturalizer",Salmon Pink,Average,Sun/Part Sun,Glossy Dark Green
SHRUBS,Azalea,"3'Tx5'W, white flowers, mid-May, good naturalizer",White,Average,Sun/Part Sun,Deep Green
SHRUBS,Azalea,"4-6'T, lavender flowers, early May  ",Lavender,Average,Sun/Part Sun,Deep Green
SHRUBS,Azalea,"4'Tx4'W, double, silvery-pink flowers, mid-May",Silvery Pink,Average,Sun/Part Sun,Deep Green
SHRUBS,Azalea,"2-3'Tx3-4'W, red flowers, early May",Red,Average,Sun/Part Sun,Glossy Dark Green
SHRUBS,Azalea,"4'Tx5'W, reddish/purple flowers, early-mid- May, dark glossy foliage, very hardy",Red/Purple,Average,Sun/Part Sun,Glossy Dark Green
SHRUBS,Azalea,"3-4'Tx4-5'W, crimson red flowers, mid-May, hardy, compact and spreading",Crimson Red,Average,Sun/Part Sun,Deep Green
SHRUBS,Azalea,"3'Tx4.5'W, 1.5-3"" white flowers, late May, dark, lustrous foliage, Hardy",White,Average,Sun/Part Sun, Lustrous Dark Green
SHRUBS,"Azalea, Korean","5'Tx4'W, pink flowers, early April, deciduous",Pink,Average,Sun/Part Sun,Deep Green
SHRUBS,"Azalea, Northern Lights","7'Tx7'W,  profuse, bright, mandarin orange flowers, early May, deciduous",Mandarin Orange,Average,Sun/Part Sun,Green
SHRUBS,"Azalea, Northern Lights","5-6'Tx4-5'W, fragrant lemon yellow flowers, early May, deciduous ",Lemon Yellow,Average,Sun/Part Sun,Green
SHRUBS,"Azalea, Pinkshell","6-9'Tx6-9'W, fragrant, clear rose flowers, mid-late May, deciduous, N ",Clear Rose,,,
SHRUBS,"Azalea, Pinxterbloom","6-8'Tx6-8'W, slightly fragrant pink-white flowers, late April, deciduous, moist soil, N ",Pink/White ,Average to moist,Partial Shade,Green
SHRUBS,"Azalea, Reblooming","4'Tx4'W, large, magenta flowers, Spring-Fall, full sun/heat tolerant",Magenta,Average,"Full Sun, Sun/Part Sun",Green
SHRUBS,"Azalea, Reblooming","2-3'Tx3-4'W, large, deep rose flowers, Spring-Fall, full sun/heat tolerant",Deep Rose Pink,Average,"Full Sun, Sun/Part Sun",Green
SHRUBS,"Azalea, Reblooming","3-4'Tx3-4'W, large, red/orange flowers, Spring-Fall, full sun/heat tolerant",Red/Orange,Average,"Full Sun, Sun/Part Sun",Green
SHRUBS,"Azalea, Reblooming","4'Tx4'W, large, purple flowers, Spring-Fall, full sun/heat tolerant",Purple,Average,"Full Sun, Sun/Part Sun", Glossy Green
SHRUBS,"Azalea, Royal","5-6'Tx5-6'W, fragrant, light pink flowers, mid-May, deciduous ",Light Pink,,,
SHRUBS,"Azalea, Swamp","8-10'Tx5-6'W, pink flowers, June-July, deciduous, N",Pink,Moist to wet,Partial Shade,Lustrous Green
SHRUBS,"Azalea, Swamp","5-7'Tx6-8'W, fragrant pink flowers, late June, partial-full shade, deciduous, MR, N",Pink,Moist to wet,Part/Full Shade,Green
SHRUBS,"Azalea, Swamp","5-7'Tx6-8'W, fragrant, pink star-shaped flowers, late June, blue-green foliage, deciduous, N",Pink,Moist to wet,Partial Shade,Blue/Green
SHRUBS,"Azalea, Swamp ","5-7'Tx6-8'W, peach/pastel yellow flowers, July, deciduous, N",Peach/Yellow,Moist to wet,Partial Shade,Green
SHRUBS,"Bayberry, Northern","5-6'Tx8-10'W, white flowers, Spring, gray, waxy, berries, aromatic, Agressive, seashore, birds, N",White,Average,Sun/Part Sun,"Lustrous, Deep Green"
SHRUBS,"Bayberry, Northern","4-5'Tx6-8'W, white flowers, Spring, gray, waxy, berries, aromatic, Agressive, seashore, birds, N",White,Average,Sun/Part Sun,"Lustrous, Deep Green"
SHRUBS,Beach Plum,"6-7'Tx6-7'W, white flowers, May, fruits edible, N",White,Average to Dry,Full Sun,Deep Green
SHRUBS,Beautyberry,"3-4'Tx4-5'W,  pinkish-lavender flowers, June-Jul, metallic purple-violet fruit, yellow Fall Color, Deer Resistant",Pink/Lavender,,,
SHRUBS,Beautyberry,"5-6'Tx6-7'W, soft pink flowers, June-Aug, electric purple fruit, yellow Fall Color, Deer Resistant",Pink ,Average,Sun/Part Sun,Bronze to Green
SHRUBS,Blue Mist Shrub,"2'Tx2'W, deep purple/blue flowers, August-September, butterflies, bees",Deep Purple/Blue,,,
SHRUBS,Blue Mist Shrub ,"2-3'Tx2-3'W, purple/blue flowers, August-September, butterflies, bees",Purple/Bue,Average,Full Sun,Green
SHRUBS,"Blueberry, Highbush","6'Tx6'W, white flowers, large, blue-black fruit, ripens mid-season, birds, red Fall Color",White,Moist to wet,Sun/Part Sun,Dark Green
SHRUBS,"Blueberry, Highbush","4-6'Tx4-6'W, upright, large blue-black fruit, ripens mid-season, birds, red Fall Color",White,Moist to wet,Sun/Part Sun,Dark Green
SHRUBS,"Blueberry, Highbush","5-7'Tx5-7'W, white flowers, medium dark blue fruit, ripens mid season, bright yellow stems, N",White,Moist to wet,Sun/Part Sun,Medium Green leaves
SHRUBS,"Blueberry, Highbush","5'Tx5'W, white flowers, medium-sized fruit, ripens early/mid season, hardy and compact, N",White,Moist to wet,Sun/Part Sun,Medium Green leaves
SHRUBS,"Blueberry, Highbush","4'Tx4'W, white flowers, blue-black fruit, dense, rounded compact, birds, red Fall Color",White,Moist to wet,Sun/Part Sun,Dark Green
SHRUBS,"Blueberry, Highbush","6'Tx6'W, white flowers, medium dark blue fruit, ripens mid season, yellow twigs, birds, red Fall Color",White,Moist to wet,Sun/Part Sun,Green Leaves
SHRUBS,"Blueberry, Highbush","6-7'Tx5-6'W, pink-white flowers, Spring, med-large fruit, birds, red fall color, N",Pink-White,Moist to wet,Sun/Part Sun,Dark Green
SHRUBS,"Blueberry, Highbush","3-4'Tx3-4'W, white flowers, Spring, very sweet fruit, mid-summer, birds, red fall color, N",White ,Moist to wet,Sun/Part Sun,Green
SHRUBS,"Blueberry, Highbush","4-7'Tx4-7'W, white flowers, Spring, large fruit, mid-summer, birds, red fall color, N",White ,Moist to wet,Sun/Part Sun,Dark Green
SHRUBS,Boxwood,"3'Tx3'W, small dark green leaves, slower growth rate, Deer Resistant",,Average to moist,Sun/Part Sun,Dark Green
SHRUBS,Boxwood,"1-2'Tx3-4'W, fine texture, dense, low, spreading, Deer Resistant",,Average to moist,Sun/Part Sun,Bright Green
SHRUBS,"Boxwood, Dwarf","2'Tx2'W, dark green foliage, Deer Resistant",,Average to moist,Sun/Part Sun,Dark Green
SHRUBS,"Boxwood, Upright","6-7'Tx4-5'W, upright, conical,  small, dark green leaves, Deer Resistant",,Average to moist,Sun/Part Sun,Dark Green
SHRUBS,"Boxwood, Upright","6-8'Tx2-3'W, upright, conical,  small, dark green leaves, Deer Resistant",,,,
SHRUBS,"Buckeye,  Bottlebrush","8-10'Tx8-10'W, large, pyramidal, white flowers, July-August, mounding habit, Deer Resistant, N",White ,Average to moist,Part/Full Shade,Green
SHRUBS,Bush Honeysuckle,"36-48""Tx48-60""W, yellow flowers, early summer, red/orange Fall Color, bees, butterflies, hummingbirds  DR, DR, N",Yellow,Average,Sun/Part Sun,Green
SHRUBS,"Butterfly Bush, Dwarf","6'Tx8'W, lightly fragrant, purple flowers, July-Sept, butterflies and bees",Purple,Average,Full Sun,Grey-green
SHRUBS,"Butterfly Bush, Dwarf","4-5'Tx3-5'W, fragrant, sangria red flowers, July-September, butterflies and hummingbirds",Sangria Red,Average,Full Sun,Green
SHRUBS,"Butterfly Bush, Dwarf","4-9'Tx4-8'W, deep blue flower, July-Sept, butterflies, bees",Deep Blue,Average,Full Sun,
SHRUBS,"Butterfly Bush, Dwarf","4-5'Tx3-5'W, vivid, rich pink flower with red eye, July-Sept, silver foliage, butterflies",Pink w/Red Eye,Average,Full Sun,Silver 
SHRUBS,"Butterfly Bush, Dwarf","4-9'Tx4-8'W, lightly fragrant, deep purple flower, July-Sept, butterflies",Deep Purple,Average,Full Sun,
SHRUBS,"Butterfly Bush, Lo & Behold","2-3'Tx3-4'W, purple-blue flowers, July-September, low spreading form, butterflies and hummingbirds",Purple/Blue,Average,Full Sun,Green
SHRUBS,Andromeda,"30""Tx 30""W, fragrant, upright, sterile, purple-blue flowers, mid-summer to frost, butterflies",Purple/Blue,Average,Full Sun,Silver-green
SHRUBS,Buttonbush,"5-10'Tx4-7'W, fragrant, white flowers, Summer, red fruit, butterflies and birds, N",White,Moist to wet,Sun/Part Sun,Green
SHRUBS,"Buttonbush, Dwarf","3-4'Tx3-4'W, fragrant, white flowers, Summer, red fruit, butterflies and birds, N",White,Moist to wet,Sun/Part Sun,Green
SHRUBS,"Chaste Tree, Dwarf","3-6'Tx6-8'W, blue flowers, Summer, blooms on new wood, Sun, Butterflies and Bees",Blue ,Moist,Full Sun,Green
SHRUBS,Chokeberry,"5-6'Tx5-6'W, white flowers, mid-May, black fruit in summer, edible and nutritious",White,Average,Sun/Part Sun,Deep Green
SHRUBS,Chokeberry,"6-10'Tx3-5'W, white flowers/red berries, May, brilliant red Fall color, N",White,Average,Sun/Part Sun,Deep Green
SHRUBS,Chokeberry,"3-6'Tx3-6'W, white flowers, May, black berries, red Fall Color, birds, edible, N",White,Average,Sun/Part Sun,Deep Green
SHRUBS,Chokeberry,"3'Tx3-4'W, white flowers, May, purple-black berries, Fall, red Fall Color, Birds, N",White,Average,Sun/Part Sun,Deep Green
SHRUBS,"Chokeberry, Dwarf","4-5'Tx2-3'W, white flowers w pink centers, May, purple-black berries, late Summer-Fall, red Fall Color, Birds, N",,,,
SHRUBS,"Cypress, Compact Hinoki ","12-15'Tx6-8'W, deep green fan-shaped foliage",,Average to moist,Sun/Part Sun,Deep Green
SHRUBS,"Cypress, Compact Hinoki ","6'Tx3-4'W, deep green fan-shaped foliage, heavy ",,Average to moist,Sun/Part Sun,Deep Green
SHRUBS,"Cypress, False","3-4'Tx3-4'W, soft blue juvenile foliage, full sun, moist soil ",,Moist,Full Sun,Soft Blue Green
SHRUBS,"Cypress, False","8-10'Tx 4-6'W, soft frond-like gold foliage, broadly upright form",,Moist,Full Sun, Gold
SHRUBS,"Cypress, False","3-4'Tx1-2'W, silvery-blue foliage, pyramidal form, slow growing",,Moist,Full Sun,Silvery Blue
SHRUBS,"Cypress, False","6'Tx3-4'W, slow growing, dark green, fan-shaped, scaled foliage",,Average to moist,Sun/Part Sun,Dark Green
SHRUBS,"Cypress, False  ","6-8'Tx4-6'W, compact, conical and slow growing, fernlike bright green foliage",,Average to moist,Sun/Part Sun, Bright Green
SHRUBS,"Cypress, False Fernspray","6-8'Tx5-6'W, evergreen, medium growing, upright, sun/pshade ",,Average to moist,Sun/Part Sun,Evergreen
SHRUBS,"Cypress, False Twisted","8-10'Tx5-6'W, pyramidal, upright form, slow growing, dark green, fan-shaped, scaled foliage",,,,Dk Green Fan Shaped
SHRUBS,"Cypress, Hinoki","10-15'Tx8-10'W, golden yellow fern-like texture",,Moist,Full Sun,Golden Yellow
SHRUBS,"Cypress, Hinoki Dwarf","2-3'Tx3-4'W, evergreen, slow grower",,Average to moist,Sun/Part Sun,Green
SHRUBS,Daphne,"2-3'Tx3-4'W, cream-edged foliage, evergreen, fragrant pink flowers, early May, ",Pink,Average to moist,Sun/Part Sun,Cream edge 
SHRUBS,Daphne,"2-3'Tx2-3'W, extremely fragrant, small pink flowers, early May and sporatically throughout the season, deep green, evergreen foliage",Pink,Average to moist,Sun/Part Sun,Deep Green
SHRUBS,Daphne,"9-12""Tx3-4'W, extremely fragrant, purple-pink flowers, early May and sporatically throughout season, deep green, evergreen foliage",Purple/Pink,Average to moist,Sun/Part Sun,Deep Green
SHRUBS,"Dogwood, Graytwig","6-8'Tx10-12'W, white berries Fall, red-purple Fall Color, spreader, birds, N",White,Moist to wet,Sun/Part Sun,Grey-green
SHRUBS,"Dogwood, Red Twig","6-8'Tx9-10'W, white flrs, May, blue fruit, bright red twig color, birds, N",White,Moist to wet,Sun/Part Sun,Medium Green
SHRUBS,"Dogwood, Red (Bloodtwig) Twig","3-4'Tx3-4'W, white flower, fiery red winter stem color, compact and dense, Deer Resistant",White,Moist to wet,Sun/Part Sun,Green
SHRUBS,"Dogwood, Tatarian","5-6'Tx6-8'W, white flrs-Spring, blue fruit-Sum, cream-edged/variegated foliage, bright red twigs Fall/Winter, Mesic",White,Moist to wet,Sun/Part Sun,Cream Variegated
SHRUBS,"Dogwood, Dwarf Tatarian","3-4'Tx3-4'W, white flowers, Spring, berries, deep red FC, blood-red stems in Winter, Birds, moist soil",White,Moist to wet,Sun/Part Sun,Green
SHRUBS,"Dogwood, Silky","6-10'Tx6-10'W, white flowers, June, blue fruit, outstanding bird plant, N",White,Moist to wet,Part/Full Shade,Green
SHRUBS,"Dogwood, Silky","6-8'Tx8-10'W (suckers), white flowers, Spring, porcelain blue berries, late Summer, orange-red FC, birds, N",White,Moist to wet,Part/Full Shade,Green
SHRUBS,"Dogwood, Yellowtwig","6-8'Tx9-10'W, white flowers, bright yellow twig color, berries, birds",White,Moist to wet,Sun/Part Sun,Green
SHRUBS,"Enkianthus, Red-veined ","6-10'T x 5-7'W, creamy white/red bell-shaped flower, upright/deciduous, red-orange Fall Color",Creamy White/Red,Average to moist,Sun/Part Sun,Green
SHRUBS,"Enkianthus, Red-veined ","5-8'T x 3-5'W, pink-red bell-shaped flower, late Spring, upright/deciduous, red-orange Fall Color",Pink/Red,Average to moist,Sun/Part Sun,Dark Green
SHRUBS,Forsythia,"7-8'Tx10-12'W, intense yellow flower, early Spring",Intense Yellow,Average,Sun/Part Sun,Medium Green
SHRUBS,Fothergilla,"4-6'Tx4-6'W, bottle-brush white fragrant flowers, late April-early May, striking red Fall Color, Deer Resistant, N",White,Average to moist,Sun/Part Sun,Light Green
SHRUBS,Fothergilla,"5-6'Tx3-4'W, bottle-brush white fragrant flowers, late April-early May, Fall Color, Deer Resistant, N",White,Average to moist,Sun/Part Sun,"Dark, Blue-Green"
SHRUBS,Fothergilla,"4-5'Tx4-5'W, bottle-brush white fragrant flowers, late April-early May, Deer Resistant, Fall Color",White,Average to moist,Sun/Part Sun,Blue
SHRUBS,"Fothergilla, Dwarf","3-4'Tx3-4'W, bottle-brush white fragrant flowers, late April-early May, Fall Color, Deer Resistant, N",White,Average to moist,Sun/Part Sun,Blue-Green
SHRUBS,"Fothergilla, Dwarf","3-4'Tx3-4'W, bottle-brush white fragrant flowers, late April-early May, glaucous blue foliage, N",White,Average to moist,Sun/Part Sun,Glaucous Blue
SHRUBS,Holly,"8-10'Tx6-7'W, blue-green leathery foliage, male pollinator for Red Beauty and Blue Princess",White,Average to moist,Sun/Part Sun,Blue/Green 
SHRUBS,Holly,"6-8'Tx4-6'W, dense, pyramidal form, outstanding fruit set-red berries, male pollinator-Blue Prince",,Average to moist,Sun/Part Sun,Deep Green
SHRUBS,Holly,"10-12'Tx5-6'W, white flowers, Spring, bright red berries, bluish-green foliage",White,Average to moist,Sun/Part Sun,Blue/Green 
SHRUBS,Holly,"6-8'Tx4-5'W, shiny, deep blue-green foliage, male pollinator for 'Castle Spire'", ,,,Shiny Dp Blue-Green
SHRUBS,"Holly, Dwarf Japanese","2-3'Tx4-5'W, small, deep green foliage, low/dense",White,Average,Sun/Part Sun,Deep Green
SHRUBS,"Holly, Japanese","2.5'Tx3'W, flattened, dark green foliage",,Average,Sun/Part Sun,Deep Green
SHRUBS,"Holly, Oregon Grape","3-6'Tx3-6'W, fragrant, bright yellow flowers, late-April, blue fruit, spiny, holly-like leaves, Fall Color",Yellow ,Moist,Part/Full Shade,Green
SHRUBS,"Holly, Upright Japanese","6-8'Tx4-5'W, small deep green foliage, upright",,,,Deep Green
SHRUBS,"Hydrangea, Dwarf","3-5'Tx3-5'W, white/pink flowers, Summer, upright growth habit",White/Pink,Average to moist,Sun/Part Sun,
SHRUBS,"Hydrangea, Lacecap","4'Tx4'W, lace-cap violet-blue flowers, late June, purple-black stems, dark green foliage", Violet/Blue ,Average to moist,Sun/Part Sun,"Dark Green,  Purple/ Black Stems"
SHRUBS,"Hydrangea, Lacecap","3-4'Tx3-4'W, lace-cap blue or pink flowers, late June, dark green foliage",Blue or Pink,Average to moist,Sun/Part Sun,Dark Green
SHRUBS,"Hydrangea, Late Season Hardy","6-8'Tx6-8'W, white turning deep pink flowers, late July-Fall, upright form",White to Deep Pink,Average,Sun/Part Sun,Dark Green
SHRUBS,"Hydrangea, Late Season Hardy","8-10'Tx10-12'W, upright-held white flowers, late August",White,,,
SHRUBS,"Hydrangea, Late Season Hardy","12'Tx 8-10'W, upright, cream-pink flowers, late summer",Cream /Pink,,,
SHRUBS,"Hydrangea, Late Season Hardy","6-8'Tx6-8'W, white turning deep pink flowers, early June-Fall, upright form",White to Deep Pink,Average,Sun/Part Sun,Dark Green
SHRUBS,"Hydrangea, Late Season Hardy","4-6'Tx4-6'W, white-light pink flowers, mid June-Fall",White/Pink,,,
SHRUBS,"Hydrangea, Late Season Hardy","2.5-3'Tx 3'W, white, pointed flowers, early June-Fall",White,Average,Sun/Part Sun,Dark Green
SHRUBS,"Hydrangea, Late Season Hardy","3-4'Tx 3-4'W, lightly scented, white flowers, early Summer-late Autumn",White ,Average,Sun/Part Sun,Dark Green
SHRUBS,"Hydrangea, Mophead","3-4'Tx3-4'W, white flowers, Summer, reblooming",White  ,Average to moist,Sun/Part Sun,Deep Green
SHRUBS,"Hydrangea, Mophead","5-6'Tx5-6'W, blue pom-pom flowers, July-August",Blue ,Average to moist,Sun/Part Sun,Deep Green
SHRUBS,"Hydrangea, Mophead","6-7'Tx6-7'W, deep blue flowers, July",Deep Blue ,Average to moist,Sun/Part Sun,Dark Green
SHRUBS,"Hydrangea, Mophead","3-4'Tx3-4'W, deep blue round flowers, late May-Frost",Deep Blue,Average to moist,Sun/Part Sun,Deep Green
SHRUBS,"Hydrangea, Mophead","3-4'Tx3-4'W, pink-red flowers, July, Fall Color",Pink/Red ,Average to moist,Sun/Part Sun,Deep Green
SHRUBS,"Hydrangea, Mophead","4-5'Tx4-5'W, large purple mophead flowers, July",Purple,Average to moist,Sun/Part Sun,Deep Green
SHRUBS,"Hydrangea, Mophead","3-4'Tx3-4'W, pure white-blushing blue or pink flowers, late June-Frost, deep green foliage ","White, Blue or Pink",Average to moist,Sun/Part Sun,Deep Green
SHRUBS,"Hydrangea, Mophead","4-6'Tx4-6'W, blue mophead flowers, June-August, blooms on old and new wood",Blue,Average to moist,Sun/Part Sun,Rich Green
SHRUBS,"Hydrangea, Mophead Dwarf","2-3'Tx2-3'W, blue mophead flowers, June-August, blooms on old and new wood",Blue,Average to moist,Sun/Part Sun,Green
SHRUBS,"Hydrangea, Mophead Dwarf","18""Tx18""W, pink flowers, July, compact",Pink,Average to moist,Sun/Part Sun,Green
SHRUBS,"Hydrangea, Mophead Dwarf","1-3'Tx2-3'W, light blue/violet splotch mophead flowers, July-August",Light Blue/Violet,Average to moist,Sun/Part Sun,Green
SHRUBS,"Hydrangea, Mophead Dwarf","24-30""Tx24-30""W, pink mophead flowers, July-August",Pink,Average to moist,Sun/Part Sun,Green
SHRUBS,"Hydrangea, Mophead Dwarf","2-3'Tx2-3'W,  blue/green-edged mophead flowers, July-August",Blue/Green,Average to moist,Sun/Part Sun,Green
SHRUBS,"Hydrangea, Mophead Dwarf","2-3'Tx2-3'W,  blue mophead flowers, June-August, rebloomer, cold tolerant",,,,
SHRUBS,"Hydrangea, Oakleaf","4-6'Tx4-6'W, 6"" tall, white flowers, July, deep burgundy Fall Color, exfoliating bark, N", White,Average to moist,Sun/Part Sun,Dark Green
SHRUBS,"Hydrangea, Oakleaf","5-6'Tx6-7'W, 6"" tall, white flowers, July, red fall color, exfoliating bark, N ",White,,Sun/Part Sun,
SHRUBS,"Hydrangea, Oakleaf","5-8'Tx5-8'W, 10-14"" white flowers, June, red Fall Color, exfoliating bark",White ,Average to moist,Sun/Part Sun,Green
SHRUBS,"Hydrangea, Oakleaf Dwarf","3-4'Tx5'W, dk red-light pink-white flowers, early Summer, red Fall Color, exfoliating bark", White/Pink/Red,Average to moist,Sun/Part Sun,Green
SHRUBS,"Hydrangea, Oakleaf Dwarf","3'Tx3-4'W, large, white changing to pink flowers, Summer, red Fall Color, exfoliating bark",White to Pink,Average to moist,Sun/Part Sun,Green
SHRUBS,Inkberry,"3-5'Tx4-5'W, white flowers, black berries, evergreen, dark green leaves, slow growing, birds, N",White,Average to moist,Sun/Part Sun,Dark Green 
SHRUBS,Inkberry,"8-10'Tx8'W, white flowers, evergreen, dark green, lustrous foliage, black berries, birds, N",White,Average to moist,Sun/Part Sun,Dark Green 
SHRUBS,"Inkberry, Dwarf","2-3'Tx2-3'W, white flowers, Spring, black berries, Fall, Deer Resistant",White ,Average to moist,Sun/Part Sun,Dark Green 
SHRUBS,"Inkberry, Dwarf","2-3'Tx2-3'W, white flowers, Spring, black berries, Fall, Deer Resistant",White ,Average to moist,Sun/Part Sun,Dark Green
SHRUBS,"Kerria, Japanese","4-6'Tx6-8'W, bright yellow flowers, late April- early May, bright green stems, part shade",Bright Yellow ,Moist,Part/Full Shade,Rich Green
SHRUBS,Leatherleaf,"2-4'Tx4-5'W, slightly fragrant white flowers, April-June, wet areas, N",White,Wet, ,
SHRUBS,Leucothoe,"3-6'Tx 3-6'W, white flowers, May, cream variegated, evergreen foliage, Deer Resistant, N",White ,Average to moist,Part/Full Shade,Green/Pink/Bronze variegated
SHRUBS,"Leucothoe, Coast ","3-6'Tx3-6'W, white flowers, early May, mounding, Deer Resistant, Fall Color, N",White,Average,Partial Shade,Dark Green
SHRUBS,"Leucothoe, Dwarf","2'Tx 3'W, creamy white flowers, early May, fountain-like habit, Deer Resistant",Creamy White ,Average,Partial Shade,Dark Green
SHRUBS,Lilac,"6-7'Tx5-6'W, 3"" long, fragrant, purple flowers, mid May, red Fall Color",Purple,Average,Full Sun,Deep Green
SHRUBS,Lilac,"6-10'Tx4-8'W, extremely fragrant light pink/white flowers, mid-May",Pink/White ,Average,Full Sun,Deep Green
SHRUBS,Lilac,"12-15'Tx8-12'W, fragrant, dark purple flowers, early May",Dark Purple,Average,Full Sun,Green
SHRUBS,Lilac,"12-15'Tx8-12'W, deep purple buds open to fragrant, rich violet flowers,  May",Purple/Violet,Average,Full Sun,Rich Green
SHRUBS,Lilac,"8-10'Tx8-10'W,  fragrant, deep dark purple flowers, May",Deep Purple,Average,Full Sun,Green
SHRUBS,Lilac,"6-8'Tx5-6'W,  fragrant, reddish-purple flowers, May",Red/Purple,Average,Full Sun,Green
SHRUBS,"Lilac, Dwarf","3'Tx3-4'W, raspberry-red buds, fragrant, purple-pink flowers, May-Sept, rebloomer",,,,
SHRUBS,"Lilac, Dwarf","5-6'Tx3-4'W, wine red buds, fragrant, deep pink flowers, mid-May, dense and compact",Red buds to Pink ,Average,Full Sun,Medium Green
SHRUBS,"Lilac, Dwarf ","4-5'Tx3-4'W, fragrant, dark purple flowers, mid-May -Summer",Dark Purple,Average,Full Sun,Green
